date,sales
2025-01-01,112
2025-01-02,118
2025-01-03,121
2025-01-04,106
2025-01-05,103
2025-01-06,119
2025-01-07,124
2025-01-08,126
2025-01-09,129
2025-01-10,124
2025-01-11,110
2025-01-12,107
2025-01-13,116
2025-01-14,118
2025-01-15,128
2025-01-16,132
2025-01-17,129
2025-01-18,118
2025-01-19,115
2025-01-20,135
2025-01-21,141
2025-01-22,143
2025-01-23,147
2025-01-24,144
2025-01-25,130
2025-01-26,127
2025-01-27,152
2025-01-28,158
2025-01-29,160
2025-01-30,164
2025-01-31,162
2025-02-01,148
2025-02-02,145
2025-02-03,170
2025-02-04,175
2025-02-05,178
2025-02-06,182
2025-02-07,180
2025-02-08,165
2025-02-09,162
2025-02-10,188
2025-02-11,192
2025-02-12,195
2025-02-13,200
2025-02-14,198
2025-02-15,175
2025-02-16,172
2025-02-17,178
2025-02-18,184
2025-02-19,190
2025-02-20,196
2025-02-21,194
2025-02-22,176
2025-02-23,172
2025-02-24,178
2025-02-25,183
2025-02-26,187
2025-02-27,192
2025-02-28,189
2025-03-01,171
2025-03-02,166
2025-03-03,171
2025-03-04,175
2025-03-05,180
2025-03-06,185
2025-03-07,183
2025-03-08,165
2025-03-09,162
2025-03-10,167
2025-03-11,173
2025-03-12,179
2025-03-13,184
2025-03-14,182
2025-03-15,165
2025-03-16,161
2025-03-17,165
2025-03-18,169
2025-03-19,172
2025-03-20,177
2025-03-21,174
2025-03-22,156
2025-03-23,150
2025-03-24,154
2025-03-25,157
2025-03-26,160
2025-03-27,165
2025-03-28,163
2025-03-29,147
2025-03-30,144
2025-03-31,148
