date,yhat,yhat_lower,yhat_upper
2025-04-01,1097.1819,1038.6138,1155.7501
2025-04-02,998.6693,940.1012,1057.2375
2025-04-03,1071.3014,1012.7332,1129.8696
2025-04-04,1090.1782,1031.61,1148.7463
2025-04-05,995.2594,936.6913,1053.8276
2025-04-06,974.1602,915.592,1032.7284
2025-04-07,1013.3125,954.7444,1071.8807
2025-04-08,1067.3783,1008.8101,1125.9464
2025-04-09,968.8657,910.2975,1027.4339
2025-04-10,1041.4977,982.9296,1100.0659
2025-04-11,1060.3745,1001.8063,1118.9427
2025-04-12,965.4558,906.8876,1024.0239
2025-04-13,944.3565,885.7884,1002.9247
2025-04-14,983.5089,924.9407,1042.0771
